algorithm,width,height,run,gen_time_ms,coverage
Drunken,150,150,3,27.584,35.00
Drunken,150,150,4,30.757,35.00
Drunken,150,150,5,35.897,35.00
Drunken,150,150,6,37.202,35.01
Drunken,150,150,7,39.709,35.00
Drunken,150,150,8,47.761,35.00
Drunken,150,150,9,35.394,35.00
Drunken,20,50,0,1.937,35.00
Drunken,20,50,1,1.671,35.20
Drunken,20,50,2,1.295,35.10
Drunken,20,50,3,1.071,35.10
Drunken,20,50,4,1.937,35.00
Drunken,20,50,5,1.280,35.10
Drunken,20,50,6,1.417,35.00
Drunken,20,50,7,1.370,35.00
Drunken,20,50,8,1.251,35.00
Drunken,20,50,9,0.951,35.20
Drunken,70,30,0,2.194,35.05
Drunken,70,30,1,3.181,35.05
Drunken,70,30,2,3.656,35.00
Drunken,70,30,3,4.213,35.00
Drunken,70,30,4,3.518,35.05
Drunken,70,30,5,2.937,35.00
Drunken,70,30,6,2.818,35.00
Drunken,70,30,7,2.151,35.00
Drunken,70,30,8,3.341,35.00
Drunken,70,30,9,2.645,35.00
Cellular,60,60,0,27.388,67.03
Cellular,60,60,1,27.144,65.06
Cellular,60,60,2,27.579,69.61
Cellular,60,60,3,26.958,63.03
Cellular,60,60,4,27.270,66.64
Cellular,60,60,5,27.644,66.56
Cellular,60,60,6,27.360,65.14
Cellular,60,60,7,27.109,68.33
Cellular,60,60,8,27.014,61.14
Cellular,60,60,9,27.241,65.00
Cellular,100,100,0,78.424,71.88
Cellular,100,100,1,78.602,68.54
Cellular,100,100,2,78.034,67.47
Cellular,100,100,3,78.476,68.75
Cellular,100,100,4,78.529,69.11
Cellular,100,100,5,78.650,71.72
Cellular,100,100,6,78.888,72.31
Cellular,100,100,7,80.443,71.92
Cellular,100,100,8,76.940,69.82
Cellular,100,100,9,78.429,69.44
Cellular,150,150,0,177.813,72.05
Cellular,150,150,1,178.011,73.38
Cellular,150,150,2,176.340,71.88
Cellular,150,150,3,178.481,71.85
Cellular,150,150,4,178.418,71.97
Cellular,150,150,5,179.672,73.56
Cellular,150,150,6,179.402,75.04
Cellular,150,150,7,178.038,72.32
